generation,population,survivors,alive,survival_pct,murdered,diversity,elapsed_s
0,200,107,200,53.5,0,0.4849266581632653,2.007
1,200,114,200,57.0,0,0.4806345663265306,1.947
2,200,126,200,63.0,0,0.4773373724489796,2.047
3,200,122,200,61.0,0,0.47176658163265306,1.996
4,200,132,200,66.0,0,0.47208545918367345,1.997
5,200,140,200,70.0,0,0.4657844387755102,2.023
6,200,146,200,73.0,0,0.46544323979591834,2.037
7,200,155,200,77.5,0,0.46419961734693876,2.024
8,200,159,200,79.5,0,0.45619260204081635,2.035
9,200,165,200,82.5,0,0.4604017857142857,2.003
10,200,156,200,78.0,0,0.45767219387755104,2.06
11,200,167,200,83.5,0,0.44957270408163263,1.948
12,200,175,200,87.5,0,0.44731505102040814,1.936
13,200,175,200,87.5,0,0.4470089285714286,2.017
14,200,180,200,90.0,0,0.44627232142857143,1.934
15,200,179,200,89.5,0,0.44876594387755103,2.013
16,200,168,200,84.0,0,0.4373373724489796,1.945
17,200,182,200,91.0,0,0.43204400510204083,1.984
18,200,179,200,89.5,0,0.4246237244897959,1.929
19,200,188,200,94.0,0,0.41426020408163267,1.907
20,200,188,200,94.0,0,0.42073341836734696,2.006
21,200,181,200,90.5,0,0.4200669642857143,1.656
22,200,174,200,87.0,0,0.42928252551020407,1.858
23,200,183,200,91.5,0,0.424984056122449,1.758
24,200,185,200,92.5,0,0.41277104591836733,1.635
25,200,177,200,88.5,0,0.4197417091836735,1.714
26,200,183,200,91.5,0,0.4149776785714286,1.878
27,200,177,200,88.5,0,0.4114285714285714,1.743
28,200,189,200,94.5,0,0.41120535714285716,1.839
29,200,187,200,93.5,0,0.4093016581632653,1.818
30,200,184,200,92.0,0,0.3908035714285714,1.773
31,200,184,200,92.0,0,0.38448022959183675,1.841
32,200,189,200,94.5,0,0.40239477040816324,1.716
33,200,182,200,91.0,0,0.39448660714285716,1.698
34,200,188,200,94.0,0,0.39387436224489797,1.787
35,200,187,200,93.5,0,0.3813297193877551,1.61
36,200,191,200,95.5,0,0.3800031887755102,1.96
37,200,188,200,94.0,0,0.37931122448979593,2.015
38,200,187,200,93.5,0,0.38479910714285714,1.977
39,200,194,200,97.0,0,0.3838488520408163,1.974
40,200,192,200,96.0,0,0.38076849489795916,1.939
41,200,194,200,97.0,0,0.3792825255102041,1.888
42,200,196,200,98.0,0,0.3714604591836735,1.898
43,200,191,200,95.5,0,0.37114158163265304,1.677
44,200,191,200,95.5,0,0.38058992346938775,1.662
45,200,194,200,97.0,0,0.3744483418367347,1.795
46,200,193,200,96.5,0,0.37099170918367347,1.673
47,200,193,200,96.5,0,0.37519132653061227,1.712
48,200,197,200,98.5,0,0.371578443877551,1.794
49,200,192,200,96.0,0,0.37604910714285716,1.715
50,200,194,200,97.0,0,0.3748692602040816,1.84
51,200,190,200,95.0,0,0.3638839285714286,1.899
52,200,196,200,98.0,0,0.36898915816326533,2.054
53,200,195,200,97.5,0,0.36697704081632654,1.937
54,200,192,200,96.0,0,0.3729145408163265,1.819
55,200,195,200,97.5,0,0.3660746173469388,1.925
56,200,192,200,96.0,0,0.35154336734693875,1.846
57,200,197,200,98.5,0,0.3618239795918367,2.144
58,200,195,200,97.5,0,0.3634247448979592,1.902
59,200,191,200,95.5,0,0.36237882653061226,1.881
60,200,191,200,95.5,0,0.36278380102040814,1.85
61,200,189,200,94.5,0,0.35112244897959183,1.965
62,200,191,200,95.5,0,0.34410714285714283,2.127
63,200,196,200,98.0,0,0.3403922193877551,2.072
64,200,192,200,96.0,0,0.31581632653061226,1.943
65,200,195,200,97.5,0,0.32962372448979593,2.014
66,200,194,200,97.0,0,0.3231058673469388,2.085
67,200,192,200,96.0,0,0.3232908163265306,1.922
68,200,194,200,97.0,0,0.3274936224489796,1.968
69,200,194,200,97.0,0,0.3425223214285714,1.958
70,200,194,200,97.0,0,0.32779655612244896,1.941
71,200,193,200,96.5,0,0.32973852040816326,1.968
72,200,194,200,97.0,0,0.31272002551020406,1.907
73,200,193,200,96.5,0,0.33463966836734693,1.932
74,200,183,200,91.5,0,0.3234470663265306,1.932
75,200,191,200,95.5,0,0.31166772959183675,1.842
76,200,191,200,95.5,0,0.32321747448979593,2.048
77,200,195,200,97.5,0,0.30954400510204083,2.073
78,200,195,200,97.5,0,0.3300892857142857,2.039
79,200,194,200,97.0,0,0.3133705357142857,2.123
80,200,195,200,97.5,0,0.3075637755102041,1.893
81,200,194,200,97.0,0,0.31150191326530613,1.927
82,200,193,200,96.5,0,0.33443239795918367,1.85
83,200,194,200,97.0,0,0.33223533163265306,1.837
84,200,194,200,97.0,0,0.3402136479591837,1.84
85,200,198,200,99.0,0,0.3225829081632653,1.838
86,200,186,200,93.0,0,0.32346301020408164,1.753
87,200,197,200,98.5,0,0.3263584183673469,1.918
88,200,187,200,93.5,0,0.3157908163265306,2.135
89,200,189,200,94.5,0,0.3183514030612245,1.869
90,200,193,200,96.5,0,0.32339604591836735,1.929
91,200,191,200,95.5,0,0.3238073979591837,1.994
92,200,189,200,94.5,0,0.3143144132653061,1.865
93,200,193,200,96.5,0,0.31783801020408164,1.971
94,200,192,200,96.0,0,0.3032079081632653,2.001
95,200,192,200,96.0,0,0.31161989795918366,2.132
96,200,195,200,97.5,0,0.3292283163265306,1.871
97,200,197,200,98.5,0,0.31761479591836733,1.961
98,200,197,200,98.5,0,0.32509566326530615,2.117
99,200,191,200,95.5,0,0.3238360969387755,1.958
